BANKID,MEMBER_CODE,REPORTING_DATE,PARTYID,REPORTDT,SOURCE,SOURCEDESC,ARRANGEMENTREF,ARRANGEMENTREFORIG,RESTRUCTIND,RESTRUCTDTFIRST,RESTRUCTDTLAST,RESTRUCTDTCLIENT,HEALINGDT,HEALINGIND,RESTRUCTDT,PPN_DT,SRC,VALID,ID_TRANSFER,PPN_DT_MOD
1000,1000,2022-12-04,902974,2019-04-30,7182,GLOBUS - Krediti,171950039,,AF,2014-07-18,2017-07-14,2017-07-14,,5,2019-04-30,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,172615,2016-08-31,7182,GLOBUS - Krediti,92570214,,a,,,,,5,2016-08-31,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,982376,2017-10-31,7182,GLOBUS - Krediti,142060079,,,,,,,5,2017-10-31,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,113824,2017-01-31,7182,GLOBUS - Krediti,100540137,,f,,,,,5,2017-01-31,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,966757,2017-10-31,7182,GLOBUS - Krediti,121640048,,,,,,,5,2017-10-31,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,134270,2017-10-31,7182,GLOBUS - Krediti,103140064,,,,,,,5,2017-10-31,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,961006,2017-10-31,7182,GLOBUS - Krediti,133570144,,,,,,,5,2017-10-31,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,1782198,2016-10-31,7416,BANCS - Dolgoročni krediti,14546682,14546682,,2014-05-01,2014-05-01,2014-05-01,,3,,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,518816,2018-02-28,7416,BANCS - Dolgoročni krediti,12432583,12432583,,2015-03-16,2015-03-16,2015-03-16,,3,,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,1801982,2015-07-31,7416,BANCS - Dolgoročni krediti,35533914,,f,2015-02-02,2015-02-02,2015-02-02,2015-07-31,2,,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,1923087,2022-11-30,7416,BANCS - Dolgoročni krediti,47519988,47519988,afh,2022-06-01,2022-06-01,2022-06-01,,1,,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,421167,2021-10-31,7416,BANCS - Dolgoročni krediti,12207598,12207598,a,2015-11-26,2020-01-14,2020-01-14,,1,,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,1982151,2022-10-31,7416,BANCS - Dolgoročni krediti,14812208,14812208,f,2022-07-29,2022-07-29,2022-07-29,,1,,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,655786,2020-08-31,7416,BANCS - Dolgoročni krediti,35683611,,f,2019-06-19,2019-06-19,2019-06-19,,1,,2022-12-04 19:00:20.0,1,1,0,
1000,1000,2022-12-04,1058872,2020-03-31,7416,BANCS - Dolgoročni krediti,11222664,11222664,a,2015-03-12,2015-03-12,2015-03-12,,1,,2022-12-04 19:00:20.0,1,1,0,
